epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6769.62,1.53361,1.52165,1.66786,0.70106,0.65458,0.71339,0.40176,1.08803,2.44318,1.16318,0.00828443,0.00828443,0.00828443
43,6930.59,1.52577,1.49784,1.67049,0.69788,0.66258,0.71724,0.40262,1.09182,2.68387,1.1662,0.00820525,0.00820525,0.00820525
44,7090.61,1.53446,1.51118,1.67902,0.70835,0.65872,0.71803,0.40402,1.09298,2.72295,1.16885,0.00812468,0.00812468,0.00812468
45,7250.1,1.5292,1.50082,1.67257,0.72453,0.6523,0.72529,0.40851,1.08932,2.47669,1.16324,0.00804277,0.00804277,0.00804277
46,7409.6,1.51622,1.49336,1.66623,0.71261,0.66862,0.72633,0.41207,1.08374,2.40912,1.15915,0.00795954,0.00795954,0.00795954
47,7569.24,1.51912,1.49384,1.66352,0.70397,0.67078,0.72863,0.41428,1.08394,2.48757,1.1585,0.00787503,0.00787503,0.00787503
48,7728.68,1.52122,1.50393,1.66264,0.7121,0.67482,0.73184,0.41675,1.08051,2.44502,1.15479,0.00778929,0.00778929,0.00778929
49,7888.18,1.50593,1.46036,1.65387,0.7157,0.67125,0.7319,0.41719,1.08246,2.36838,1.15703,0.00770234,0.00770234,0.00770234
50,8047.84,1.49798,1.46003,1.64515,0.71602,0.67285,0.73435,0.41844,1.08062,2.44444,1.15393,0.00761423,0.00761423,0.00761423
51,8207.37,1.50416,1.45803,1.65381,0.71737,0.66943,0.733,0.41871,1.08062,2.48927,1.15258,0.007525,0.007525,0.007525
52,8366.69,1.49655,1.43585,1.63905,0.72384,0.67041,0.7352,0.42105,1.08169,2.36736,1.15293,0.00743468,0.00743468,0.00743468
53,8525.98,1.4984,1.45124,1.64192,0.72365,0.66975,0.73427,0.42235,1.07904,2.32169,1.15121,0.00734332,0.00734332,0.00734332
54,8685.4,1.48566,1.43484,1.62775,0.72224,0.67679,0.73489,0.42212,1.07797,2.29248,1.15003,0.00725094,0.00725094,0.00725094
55,8844.85,1.50418,1.43621,1.64046,0.72938,0.66971,0.73712,0.42403,1.07492,2.28421,1.14728,0.00715761,0.00715761,0.00715761
56,9004.26,1.49658,1.43244,1.63863,0.73344,0.66789,0.73788,0.42521,1.07073,2.19898,1.14364,0.00706335,0.00706335,0.00706335
57,9163.54,1.48335,1.42001,1.62228,0.7285,0.67819,0.73956,0.42477,1.07186,2.16874,1.14234,0.0069682,0.0069682,0.0069682
58,9323.12,1.47889,1.40921,1.62323,0.72572,0.6781,0.74015,0.42395,1.07198,2.15337,1.14187,0.00687222,0.00687222,0.00687222
59,9482.65,1.47889,1.42397,1.61845,0.73221,0.67518,0.74252,0.42515,1.07196,2.13044,1.14113,0.00677543,0.00677543,0.00677543
60,9641.91,1.48044,1.40565,1.62281,0.72522,0.68112,0.74253,0.42621,1.07132,2.06862,1.1411,0.00667789,0.00667789,0.00667789
61,9801.23,1.47517,1.39955,1.6146,0.73187,0.67747,0.74446,0.42764,1.06966,2.04874,1.1388,0.00657963,0.00657963,0.00657963
62,9960.51,1.47074,1.38468,1.60734,0.73236,0.68122,0.74695,0.42794,1.06963,2.05255,1.13902,0.00648071,0.00648071,0.00648071
63,10120.2,1.46586,1.36745,1.60458,0.73547,0.68344,0.74809,0.42936,1.0707,1.98819,1.13888,0.00638115,0.00638115,0.00638115
64,10279.4,1.46308,1.37409,1.6031,0.735,0.68157,0.74877,0.43077,1.06884,1.96785,1.13743,0.00628101,0.00628101,0.00628101
65,10438.9,1.46302,1.36036,1.60666,0.73264,0.68247,0.75016,0.43185,1.06843,1.97651,1.13731,0.00618034,0.00618034,0.00618034
66,10598.1,1.45277,1.36659,1.59627,0.73033,0.68706,0.75046,0.43298,1.06838,1.96839,1.13678,0.00607916,0.00607916,0.00607916
67,10757.7,1.45069,1.346,1.59348,0.72969,0.68845,0.75124,0.43353,1.06785,1.94794,1.13654,0.00597754,0.00597754,0.00597754
68,10917,1.44493,1.35134,1.58978,0.72785,0.689,0.75256,0.43454,1.06836,1.95266,1.13667,0.00587551,0.00587551,0.00587551
69,11076.6,1.45396,1.35001,1.59179,0.73277,0.68706,0.75301,0.43494,1.06727,1.93173,1.13595,0.00577311,0.00577311,0.00577311
70,11235.9,1.45168,1.34917,1.59244,0.73292,0.69183,0.75335,0.43544,1.0675,1.91129,1.13582,0.0056704,0.0056704,0.0056704
71,11395.4,1.43414,1.32537,1.58073,0.74344,0.6852,0.75384,0.43552,1.06659,1.89639,1.13453,0.00556742,0.00556742,0.00556742
72,11554.4,1.43844,1.31991,1.57569,0.74457,0.68749,0.75591,0.4361,1.06634,1.86906,1.13365,0.00546421,0.00546421,0.00546421
73,11713.7,1.42721,1.31849,1.57635,0.73919,0.68975,0.75628,0.4369,1.06614,1.85081,1.13331,0.00536081,0.00536081,0.00536081
74,11872.9,1.43281,1.31395,1.57654,0.73971,0.69114,0.75661,0.43792,1.06576,1.8275,1.13274,0.00525728,0.00525728,0.00525728
75,12032.5,1.43706,1.30472,1.58194,0.73934,0.69217,0.75649,0.43793,1.06579,1.80217,1.13248,0.00515366,0.00515366,0.00515366
76,12191.8,1.42552,1.30879,1.57083,0.74007,0.69154,0.7576,0.43851,1.06524,1.7787,1.13184,0.00505,0.00505,0.00505
77,12351.3,1.41478,1.27594,1.56519,0.74041,0.69162,0.75823,0.43903,1.06516,1.75354,1.13145,0.00494634,0.00494634,0.00494634
78,12510.4,1.42129,1.28873,1.56642,0.7449,0.68923,0.75825,0.43976,1.06445,1.73183,1.13081,0.00484272,0.00484272,0.00484272
79,12669.9,1.41165,1.28376,1.56442,0.74425,0.68957,0.75883,0.43999,1.06346,1.72456,1.12989,0.00473919,0.00473919,0.00473919
80,12829,1.41354,1.273,1.55982,0.74378,0.69157,0.75925,0.44017,1.06373,1.7127,1.12993,0.00463579,0.00463579,0.00463579
81,12988.4,1.40695,1.26902,1.55031,0.74432,0.6924,0.75979,0.44103,1.06306,1.70785,1.12955,0.00453258,0.00453258,0.00453258
82,13147.9,1.39806,1.26455,1.54557,0.74116,0.69455,0.75959,0.44088,1.06332,1.70255,1.12966,0.0044296,0.0044296,0.0044296
83,13307.5,1.40012,1.25167,1.54603,0.74399,0.69292,0.75986,0.44124,1.06321,1.69083,1.1292,0.00432689,0.00432689,0.00432689
84,13466.8,1.39916,1.24897,1.54224,0.74566,0.69364,0.76074,0.44201,1.06308,1.676,1.12888,0.00422449,0.00422449,0.00422449
85,13626.3,1.3902,1.24204,1.53661,0.74578,0.69361,0.76104,0.44255,1.06302,1.66349,1.1286,0.00412246,0.00412246,0.00412246
86,13785.7,1.39873,1.24396,1.53165,0.74613,0.69492,0.76179,0.44308,1.06287,1.65332,1.12818,0.00402084,0.00402084,0.00402084
87,13945.2,1.38401,1.23565,1.53277,0.74572,0.69657,0.76283,0.44331,1.06239,1.64006,1.12785,0.00391966,0.00391966,0.00391966
88,14104.3,1.38119,1.22512,1.52346,0.74499,0.69653,0.76296,0.44354,1.06198,1.62595,1.12771,0.00381899,0.00381899,0.00381899
89,14263.6,1.38492,1.21737,1.52701,0.74582,0.69748,0.76317,0.44414,1.0618,1.61179,1.1273,0.00371885,0.00371885,0.00371885
90,14422.5,1.3793,1.21496,1.52181,0.74651,0.69813,0.76384,0.444,1.06144,1.6042,1.12696,0.00361929,0.00361929,0.00361929
91,14582.2,1.37531,1.19937,1.52179,0.74794,0.69818,0.76402,0.44483,1.06098,1.5934,1.12658,0.00352037,0.00352037,0.00352037
92,14741.2,1.36676,1.19659,1.51405,0.74477,0.70075,0.76374,0.4451,1.06055,1.57612,1.12623,0.00342211,0.00342211,0.00342211
93,14900.5,1.37446,1.20028,1.51741,0.7449,0.70142,0.76365,0.44491,1.06049,1.56696,1.12584,0.00332457,0.00332457,0.00332457
94,15059.5,1.35874,1.18473,1.51043,0.74332,0.70317,0.76375,0.4452,1.06011,1.55388,1.12571,0.00322778,0.00322778,0.00322778
95,15220.9,1.36529,1.1951,1.51783,0.74227,0.70582,0.76401,0.44534,1.05996,1.53938,1.12528,0.0031318,0.0031318,0.0031318
96,15380,1.35727,1.18572,1.50773,0.74082,0.709,0.7649,0.4457,1.05961,1.52727,1.12496,0.00303665,0.00303665,0.00303665
97,15539.4,1.34982,1.17332,1.50337,0.74215,0.70823,0.76488,0.44588,1.0593,1.51676,1.12463,0.00294239,0.00294239,0.00294239
98,15698.6,1.3572,1.17172,1.50718,0.74329,0.70767,0.76546,0.44623,1.05922,1.50544,1.12449,0.00284906,0.00284906,0.00284906
99,15857.9,1.34656,1.1607,1.49512,0.74333,0.70667,0.7657,0.44642,1.05872,1.495,1.12408,0.00275668,0.00275668,0.00275668
100,16016.8,1.33923,1.15822,1.49488,0.74291,0.70747,0.7658,0.44656,1.05834,1.4839,1.12357,0.00266532,0.00266532,0.00266532
101,16176.1,1.33638,1.14574,1.48615,0.7432,0.70748,0.76604,0.44662,1.05796,1.47283,1.12303,0.002575,0.002575,0.002575
102,16335.1,1.3383,1.14438,1.48941,0.74408,0.70755,0.76634,0.4466,1.05795,1.45937,1.12243,0.00248577,0.00248577,0.00248577
103,16494.5,1.32177,1.13183,1.47278,0.74193,0.7086,0.76674,0.44703,1.05776,1.44569,1.12203,0.00239766,0.00239766,0.00239766
104,16653.5,1.33227,1.12371,1.47965,0.74289,0.70818,0.76717,0.44768,1.05751,1.43315,1.12183,0.00231071,0.00231071,0.00231071
105,16812.7,1.3316,1.13005,1.47895,0.74249,0.70921,0.76756,0.44786,1.05745,1.42028,1.12166,0.00222497,0.00222497,0.00222497
106,16971.7,1.33416,1.12051,1.48622,0.74315,0.71046,0.7679,0.44836,1.0572,1.41015,1.12128,0.00214046,0.00214046,0.00214046
107,17131.3,1.32024,1.10279,1.47571,0.74675,0.70865,0.76865,0.44852,1.0572,1.39973,1.12114,0.00205723,0.00205723,0.00205723
108,17290.3,1.31204,1.10745,1.46739,0.74664,0.70857,0.76833,0.44899,1.05696,1.38954,1.12072,0.00197532,0.00197532,0.00197532
